URL,URL,UniqueAbbridged,09/27_Sum,10/29_Sum,Total
http://dmsreports.corp.oncor.com/DMSReports/OMS/Restored/History/Chart#/System/All/,OMS/Restored/History/Chart#/System/All/,OMS/Restored/History/Chart,0,22,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/RestoredCustomers,OMS/RestoredCustomers,OMS/RestoredCustomers,0,10,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/RestoredCustomers#/System/All/?areaGroup=System&customerTypeCodes=99,OMS/RestoredCustomers#/System/All/?areaGroup=System&customerTypeCodes=99,OMS/RestoredCustomers,0,10,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/ServiceRepair/History/#/System/All/,OMS/ServiceRepair/History/#/System/All/,OMS/ServiceRepair/History/,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/SwitchPlan/Find,OMS/SwitchPlan/Find,OMS/SwitchPlan/Find,6,5,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/SwitchPlan/History/#/System/All/,OMS/SwitchPlan/History/#/System/All/,OMS/SwitchPlan/History/,56,30,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/TroubleshootingSummary#/System/All/,OMS/TroubleshootingSummary#/System/All/,OMS/TroubleshootingSummary,2841,13115,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/UnprocessedCalls/#/,OMS/UnprocessedCalls/#/,OMS/UnprocessedCalls/,0,2,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/WorkOrder/History#/System/All/,OMS/WorkOrder/History#/System/All/,OMS/WorkOrder/History,1502,1108,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/WorkOrder/History/Chart#/System/All/,OMS/WorkOrder/History/Chart#/System/All/,OMS/WorkOrder/History/Chart,0,9,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/WorkOrder/Open/#/System/All/,OMS/WorkOrder/Open/#/System/All/,OMS/WorkOrder/Open/,96433,860214,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/WorkOrder/Open/FeedersSummary#/System/All/,OMS/WorkOrder/Open/FeedersSummary#/System/All/,OMS/WorkOrder/Open/FeedersSummary,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/WorkOrder/Open/Summary#/u/System,OMS/WorkOrder/Open/Summary#/u/System,OMS/WorkOrder/Open/Summary,80799,710991,1
